What happened?	0.mp3
Leggo	120.mp3
You read	121.mp3
Leggi	122.mp3
He reads	123.mp3
Lui legge	124.mp3
She reads	125.mp3
Lei legge	126.mp3
We read	127.mp3
Noi leggiamo	128.mp3
You read (plural)	129.mp3
Voi leggete	130.mp3
They read	131.mp3
Loro leggono	132.mp3
his expression is earnest.	133.mp3
la sua espressione è seria.	134.mp3
love	135.mp3
amore	136.mp3
Look at me go!	137.mp3
Guarda come vado!	138.mp3
This is so relaxing!	139.mp3
Questo è così rilassante!	140.mp3
Whoa, watch out!	141.mp3
Oh no, not again!	142.mp3
Attenzione!	143.mp3
Oh no, di nuovo!	144.mp3
At least we both had a wild ride!	145.mp3
Yeah, but this isn't how I imagined our day out!	146.mp3
Almeno entrambi abbiamo avuto un viaggio folle!	147.mp3
Sì, ma non è così che immaginavo la nostra giornata!	148.mp3
the scene feels tense.	149.mp3
la scena sembra tesiosa.	150.mp3
a hypocrite	151.mp3
un ipocrita	152.mp3
they are ready to attack.	153.mp3
sono pronti ad attaccare.	154.mp3
feeling low	155.mp3
sentirsi giù	156.mp3
Here it comes!	157.mp3
I got this!	158.mp3
Arriva!	159.mp3
Ce l'ho fatta!	160.mp3
Oh no!	161.mp3
Ouch!	162.mp3
Ahi!	163.mp3
Are you okay?	164.mp3
Not really...	165.mp3
Stai bene?	166.mp3
Non proprio...	167.mp3
I'm out of here!	168.mp3
You’re going to pay for that!	169.mp3
Me ne vado!	170.mp3
Pagherai per questo!	171.mp3
a punch bowl is a large container.	172.mp3
una ciotola per il punch è un grande contenitore.	173.mp3
a university	174.mp3
un'università	175.mp3
I drink	176.mp3
Io bevo	177.mp3
You drink	178.mp3
Tu bevi	179.mp3
He drinks	180.mp3
Lui beve	181.mp3
She drinks	182.mp3
Lei beve	183.mp3
We drink	184.mp3
Noi beviamo	185.mp3
You drink (plural)	186.mp3
Voi bevete	187.mp3
They drink	188.mp3
Loro bevono	189.mp3
This is amazing!	190.mp3
Questo è incredibile!	191.mp3
You fell!	192.mp3
Cosa è successo?	193.mp3
Sei caduto!	194.mp3
I'm soaked!	195.mp3
You needed it!	196.mp3
Sono fradicio!	197.mp3
Ne avevi bisogno!	198.mp3
it seems they are about to throw up.	199.mp3
sembra che siano sul punto di vomitare.	200.mp3
to silence	201.mp3
silenziare	202.mp3
I work	203.mp3
Io lavoro	204.mp3
You work	205.mp3
Tu lavori	206.mp3
He works	207.mp3
Lui lavora	208.mp3
She works	209.mp3
Lei lavora	210.mp3
We work	211.mp3
Noi lavoriamo	212.mp3
You work (plural)	213.mp3
Voi lavorate	214.mp3
They work	215.mp3
Loro lavorano	216.mp3
someone is lashing out.	217.mp3
qualcuno sta esplodendo.	218.mp3
a music festival	219.mp3
a music festival - un festival musicale	220.mp3
I speak	221.mp3
Io parlo	222.mp3
You speak	223.mp3
Tu parli	224.mp3
He speaks	225.mp3
Lui parla	226.mp3
She speaks	227.mp3
Lei parla	228.mp3
We speak	229.mp3
Noi parliamo	230.mp3
You speak (plural)	231.mp3
Voi parlate	232.mp3
They speak	233.mp3
Loro parlano	234.mp3
they are staring at a blank page.	235.mp3
Stanno fissando una pagina vuota.	236.mp3
ranting	237.mp3
ranting (no direct translation, could use "sfogarsi")	238.mp3
the battlefield is in front of them.	239.mp3
il campo di battaglia è davanti a loro.	240.mp3
massaging	241.mp3
massaggiare	242.mp3
the person is laughing heartily.	243.mp3
la persona sta ridendo di cuore.	244.mp3
a business person	245.mp3
un imprenditore	246.mp3
the person is looking over their shoulder.	247.mp3
la persona sta guardando oltre la spalla.	248.mp3
rage	249.mp3
rabbia	250.mp3
Where are you taking me?	251.mp3
Don't worry, just a little check-up!	252.mp3
Dove mi porti?	253.mp3
Non preoccuparti, solo un piccolo controllo!	254.mp3
Why are you popping out like that?	255.mp3
Just making sure everything is in order!	256.mp3
Perché esci in quel modo?	257.mp3
Sto solo controllando che tutto sia a posto!	258.mp3
Stay away from me!	259.mp3
Trust me, you won't want to run!	260.mp3
Stai lontano da me!	261.mp3
Fidati, non vorrai correre!	262.mp3
I have to get out of here!	263.mp3
You can't escape my little games!	264.mp3
Devo uscire di qui!	265.mp3
Non puoi scappare dai miei giochini!	266.mp3
the person is painting a picture.	267.mp3
La persona sta dipingendo un quadro.	268.mp3
philosophy	269.mp3
filosofia	270.mp3
they are prepared for any challenge.	271.mp3
sono pronti per qualsiasi sfida.	272.mp3
a university town	273.mp3
una città universitaria	274.mp3
the camera is in their hands.	275.mp3
la macchina fotografica è nelle loro mani.	276.mp3
mars	277.mp3
Marte	278.mp3
the person is curious about what they see.	279.mp3
la persona tiene curiosidad sobre lo que ve.	280.mp3
a windmill	281.mp3
un molino de viento	282.mp3
Bebo	283.mp3
Bebes	284.mp3
Bebe	285.mp3
Bebemos	286.mp3
Beben	287.mp3
Ellos beben	288.mp3
Another day at the plant!	289.mp3
Let's hope we don't have any incidents today.	290.mp3
¡Otro día en la planta!	291.mp3
Esperemos que no tengamos ningún incidente hoy.	292.mp3
Got my coffee fixed, ready to tackle the day.	293.mp3
Lighting up to keep my spirits high.	294.mp3
Tengo mi café listo, listo para enfrentar el día.	295.mp3
Encendiendo para mantener mi ánimo alto.	296.mp3
Mixing these chemicals carefully, can't afford a mistake.	297.mp3
Just enjoying my cigar while you work.	298.mp3
Mezclando estos químicos con cuidado, no puedo permitirme un error.	299.mp3
Solo disfrutando de mi cigarro mientras trabajas.	300.mp3
Uh-oh, something feels off!	301.mp3
What's happening?!	302.mp3
¡Ay, algo se siente mal!	303.mp3
¿¡Qué está pasando!?	304.mp3
This didn’t go as planned…	305.mp3
I can't believe this happened!	306.mp3
Esto no salió como estaba planeado...	307.mp3
¡No puedo creer que esto haya pasado!	308.mp3
