I am going	Je vais
I want to be strong	Je veux être fort.
Follow my lead, and we can change everything	Suis mon exemple, et nous pouvons tout changer.
I trust you completely	Je te fais entièrement confiance.
Just a little more, and you'll see the truth	Juste un peu plus, et tu verras la vérité.
I'm ready to do whatever it takes	Je suis prêt à faire tout ce qu'il faut.
Hey, watch this!	Hé, regarde ça !
I'm ready!	Je suis prêt(e) !
Uh-oh!	Oh là là !
Are you okay?	Ça va ?
I feel dizzy...	J'ai des vertiges...
I'm outta here!	Je m'en vais !
Come back here!	Rends-toi ici !
Alfie is yawning in the kitchen.	Alfie bâille dans la cuisine.
Alfie is pouring a bowl of cereal in the kitchen.	Alfie verse un bol de céréales dans la cuisine.
Alfie is munching in the kitchen.	Alfie grignote dans la cuisine.
Alfie is feeling ready for anything in the kitchen.	Alfie se sent prêt à tout dans la cuisine.
Alfie is waving goodbye in the outside front door.	Alfie fait un signe d'au revoir à la porte d'entrée.
Alfie is waking up in the bedroom.	Alfie se réveille dans la chambre.
Alfie is tasting something unpleasant in the kitchen.	Alfie goûte quelque chose de désagréable dans la cuisine.
Alfie is feeling unwell in the kitchen.	Alfie ne se sent pas bien dans la cuisine.
Alfie is vomiting in the kitchen.	Alfie vomit dans la cuisine.
Alfie rides confidently on a horse along a gravel path.	Alfie monte à cheval avec confiance sur un chemin de gravier.
Alfie loses balance and falls off the horse onto the gravel path.	Alfie perd l'équilibre et tombe du cheval sur le chemin de gravier.
Alfie lies on the ground in pain, with the riderless horse nearby.	Alfie est allongé sur le sol, en douleur, avec le cheval sans cavalier à proximité.
Alfie regains consciousness while Betty throws water on him.	Alfie reprend conscience pendant que Betty lui jette de l'eau.
Alfie stands drenched on the gravel path, while Betty appears unapologetic.	Alfie se tient mouillé sur le chemin de gravier, tandis que Betty semble imperturbable.
Alfie is in a wheelchair in the hospital interior, while Betty evaluates with a checklist.	Alfie est en fauteuil roulant à l'intérieur de l'hôpital, tandis que Betty évalue avec une liste de contrôle.
Alfie is waiting in the wheelchair, while Betty pops out in the hospital interior.	Alfie attend dans le fauteuil roulant, tandis que Betty surgit à l'intérieur de l'hôpital.
Alfie is defensive in the wheelchair, while Betty returns with a knife and syringe.	Alfie est sur la défensive dans le fauteuil roulant, tandis que Betty revient avec un couteau et une seringue.
Alfie is running away in the hospital interior, while Betty cackles cynically, and there's an empty wheelchair in the middle.	Alfie s'enfuit à l'intérieur de l'hôpital, tandis que Betty rigole cyniquement, et il y a un fauteuil roulant vide au milieu.
Alfie is riding a horse in the forest.	Alfie monte à cheval dans la forêt.
Alfie is riding with determination in the rocky foothills at dusk. On the right is a wild dog.	Alfie chevauche avec détermination dans les contreforts rocheux au crépuscule. À droite se trouve un chien sauvage.
Alfie is falling off horse in the rocky foothills at dusk. On the right is a howling dog.	Alfie tombe de cheval dans les contreforts rocheux au crépuscule. À droite se trouve un chien hurlant.
Alfie is mauled by dog in the rocky foothills at dusk.	Alfie est attaqué par un chien dans les contreforts rocheux au crépuscule.
Alfie is riding with injuries in the rocky foothills at dusk.	Alfie chevauche avec des blessures dans les contreforts rocheux au crépuscule.
Mixing ingredients in the kitchen.	Mélanger des ingrédients dans la cuisine.
Mixing chemicals in the kitchen.	Mélanger des produits chimiques dans la cuisine.
Preaching revolution in the government plaza with Betty covering her ears.	Prêcher la révolution dans la place du gouvernement pendant que Betty se couvre les oreilles.
Throwing a bomb in the government plaza while Betty runs away.	Lancer une bombe sur la place du gouvernement pendant que Betty s'enfuit.
Alfie is motorcycling to work while Betty is cycling alongside him.	Alfie fait de la moto pour aller au travail pendant que Betty fait du vélo à côté de lui.
Alfie is in the break room drinking coffee while Betty lights a cigar next to a vending machine.	Alfie est dans la salle de repos en train de boire du café pendant que Betty allume un cigare à côté d'un distributeur automatique.
Alfie is mixing chemicals in the laboratory while Betty smokes her cigar.	Alfie mélange des produits chimiques dans le laboratoire pendant que Betty fume son cigare.
Alfie is about to blow up in the laboratory while Betty is engulfed in flames.	Alfie est sur le point d'exploser dans le laboratoire pendant que Betty est engloutie par les flammes.
Alfie is charred in the chemical plant while Betty is still smoldering nearby.	Alfie est carbonisé dans l'usine chimique pendant que Betty fume encore à proximité.
Scene 7	Scène 7
Alfie is rollerskating in the park, having a great time.	Alfie fait du roller dans le parc, s'amusant beaucoup.
Betty is reading while cycling in the boulevard, focused on her book.	Betty lit en faisant du vélo sur le boulevard, concentrée sur son livre.
Alfie falls on his rollerskates and Betty falls off her bicycle in the boulevard.	Alfie tombe sur ses rollers et Betty tombe de son vélo sur le boulevard.
Alfie is in a wheelchair with two broken legs in the hospital exterior and Betty is on crutches outside the hospital.	Alfie est en fauteuil roulant avec deux jambes cassées à l'extérieur de l'hôpital et Betty est sur des béquilles devant l'hôpital.
Scene 8	Scène 8
Alfie is using his powers to influence Betty in the laundrette.	Alfie utilise ses pouvoirs pour influencer Betty dans la laverie.
Alfie is convincing Betty of their potential as a team in the laundrette.	Alfie convainc Betty de leur potentiel en tant qu'équipe dans la laverie.
Alfie is asserting control while Betty shows her willingness to follow.	Alfie affirme son contrôle tandis que Betty montre sa volonté de suivre.
Alfie is plotting while Betty is consumed by his influence in the laundrette.	Alfie manigance tandis que Betty est consumée par son influence dans la laverie.
Scene 9	Scène 9
Alfie is pitching a baseball and Betty is preparing to swing the bat in the sports field.	Alfie lance une balle de baseball et Betty se prépare à frapper la batte sur le terrain de sport.
Alfie drops the bat as Betty gets hit in the head with the ball in the sports field.	Alfie laisse tomber la batte tandis que Betty reçoit la balle sur la tête sur le terrain de sport.
Alfie shrugs while Betty appears groggy from the injury in the sports field.	Alfie hausse les épaules tandis que Betty semble groggy à cause de la blessure sur le terrain de sport.
Alfie runs away while Betty swings the bat angrily over her head in the sports field.	Alfie s'enfuit tandis que Betty balance la batte avec colère au-dessus de sa tête sur le terrain de sport.
they are blushing.	ils rougissent.
a slum	un bidonville
the fire looks dangerous.	le feu a l'air dangereux.
a recording booth	une cabine d'enregistrement
the person is smiling.	la personne sourit.
religion	religion
