test1	Translated1
Alfie looks uncomfortable and unwell in the kitchen.	Alfie se ve incómodo y mal en la cocina.
Alfie is vomiting in the kitchen.	Alfie está vomitando en la cocina.
Scene 2	Escena 2
Alfie is riding a horse in the gravel path.	Alfie está montando un caballo en el sendero de grava.
Alfie is falling off horse in the gravel path.	Alfie se está cayendo del caballo en el sendero de grava.
Alfie is lying on ground in the gravel path. On the right is a riderless horse.	Alfie está tumbado en el suelo en el sendero de grava. A la derecha hay un caballo sin jinete.
Alfie is regaining consciousness in the gravel path. Betty is throwing water in the gravel path.	Alfie está recobrando el conocimiento en el sendero de grava. Betty está echando agua en el sendero de grava.
Alfie is soaking wet in the gravel path. Betty is unapologetic in the gravel path.	Alfie está empapado en el sendero de grava. Betty no se disculpa en el sendero de grava.
Scene 3	Escena 3
Alfie is in a wheelchair in the hospital interior while Betty evaluates with a checklist.	Alfie está en una silla de ruedas en el interior del hospital mientras Betty evalúa con una lista de verificación.
Alfie is waiting in a wheelchair as Betty pops out in the hospital interior.	Alfie está esperando en una silla de ruedas mientras Betty aparece en el interior del hospital.
Alfie is defensive while Betty returns with a knife and syringe.	Alfie está a la defensiva mientras Betty regresa con un cuchillo y una jeringa.
Alfie is running away in the hospital interior as Betty cackles cynically, with an empty wheelchair in the middle.	Alfie está huyendo en el interior del hospital mientras Betty se ríe cínicamente, con una silla de ruedas vacía en el medio.
Scene 4	Escena 4
Alfie is riding a horse in the forest.	Alfie está montando a caballo en el bosque.
Alfie is riding with determination in the rocky foothills at dusk. On the right is a wild dog.	Alfie cabalga con determinación en las laderas rocosas al atardecer. A la derecha hay un perro salvaje.
Alfie is falling off the horse in the rocky foothills at dusk. On the right is a howling dog.	Alfie se cae del caballo en las laderas rocosas al atardecer. A la derecha hay un perro aullador.
Alfie is mauled by the dog in the rocky foothills at dusk.	Alfie es atacado por el perro en las laderas rocosas al atardecer.
Alfie is riding with injuries in the rocky foothills at dusk.	Alfie está montando con heridas en las laderas rocosas al atardecer.
Scene 5	Escena 5
Alfie is mixing ingredients in the kitchen.	Alfie está mezclando ingredientes en la cocina.
Alfie is mixing chemicals in the kitchen.	Alfie está mezclando productos químicos en la cocina.
Alfie is preaching revolution in the government plaza, Betty is plugging her ears.	Alfie está predicando revolución en la plaza del gobierno, Betty se está tapando los oídos.
Alfie is throwing a bomb in the government plaza, Betty is running away.	Alfie está lanzando una bomba en la plaza del gobierno, Betty está huyendo.
Scene 6	Escena 6
Alfie is motorcycling to work while Betty cycles beside him.	Alfie está yendo en motocicleta al trabajo mientras Betty pedalear al lado de él.
Alfie is drinking coffee in the break room; Betty is lighting a cigar.	Alfie está bebiendo café en la sala de descanso; Betty está encendiendo un cigarro.
Alfie is mixing chemicals in the laboratory; Betty is smoking a cigar.	Alfie está mezclando productos químicos en el laboratorio; Betty está fumando un cigarro.
Alfie is about to blow up in the laboratory while Betty is caught by surprise as flames engulf her.	Alfie está a punto de explotar en el laboratorio mientras Betty es sorprendida por las llamas que la envuelven.
Alfie is all charred in the chemical plant, and Betty is still smoldering nearby.	Alfie está todo carbonizado en la planta química, y Betty aún está humeando cerca.
Scene 7	Escena 7
Alfie is rollerskating in the park.	Alfie está patinando en línea en el parque.
Betty is reading while cycling in the boulevard.	Betty está leyendo mientras monta en bicicleta por el bulevar.
Alfie is falling on rollerskates and Betty is falling off her bicycle in the boulevard.	Alfie se está cayendo en los patines y Betty se está cayendo de su bicicleta en el bulevar.
Alfie is in a wheelchair with two broken legs outside the hospital and Betty is on crutches.	Alfie está en una silla de ruedas con dos piernas rotas fuera del hospital y Betty está en muletas.
Scene 8	Escena 8
Alfie is brainwashing in the laundrette as he speaks with a persuasive tone to Betty.	Alfie está lavando el cerebro en la lavandería mientras habla con un tono persuasivo a Betty.
Alfie is mind controlling in the laundrette, while Betty appears entranced.	Alfie está controlando la mente en la lavandería, mientras Betty parece estar hipnotizada.
Alfie is giving orders in the laundrette, Betty is radicalized as she nods in agreement.	Alfie está dando órdenes en la lavandería, Betty está radicalizada mientras asiente en acuerdo.
Alfie is being sneaky in the laundrette, Betty appears compelled and ready to act on his wishes.	Alfie está siendo sigiloso en la lavandería, Betty parece estar compelida y lista para actuar según sus deseos.
Scene 9	Escena 9
Alfie throws the ball towards Betty as she prepares to swing the bat.	Alfie lanza la pelota hacia Betty mientras ella se prepara para golpear con el bate.
Alfie drops the bat while the ball accidentally hits Betty in the head.	Alfie deja caer el bate mientras la pelota golpea accidentalmente a Betty en la cabeza.
Alfie looks concerned as Betty stumbles from the impact.	Alfie se ve preocupado mientras Betty tambalearse por el impacto.
Alfie runs away while Betty angrily swings the bat overhead.	Alfie sale corriendo mientras Betty agita el bate con ira por encima de su cabeza.
I am going	Voy
You are going	Vas
He is going	Va
She is going	Va
We are going	Vamos
You are going (plural)	Van
They are going	Van
I eat	Como
You eat	Comes
He eats	Come
She eats	Come
We eat	Comemos
You eat (plural)	Comen
They eat	Comen
I drink	Bebo
You drink	Bebes
He drinks	Bebe
She drinks	Bebe
We drink	Bebemos
You drink (plural)	Beben
They drink	Ellos beben
I read	Yo leo
You read	Tú lees
He reads	Él lee
She reads	Ella lee
We read	Nosotros leemos
You read (plural)	Ustedes leen
They read	Ellos leen
I ride	Yo monto
You ride	Tú montas
He rides	Él monta
She rides	Ella monta
We ride	Nosotros montamos
You ride (plural)	Ustedes montan
They ride	Ellos montan
I work	Yo trabajo
You work	Tú trabajas
He works	Él trabaja
She works	Ella trabaja
We work	Nosotros trabajamos
You work (plural)	Ustedes trabajan
They work	Ellos trabajan
I speak	Yo hablo
You speak	Tú hablas
He speaks	Él habla
She speaks	Ella habla
We speak	Nosotros hablamos
You speak (plural)	Ustedes hablan
They speak	Ellos hablan
the person is curious about what they see.	la persona tiene curiosidad sobre lo que ve.
a windmill	un molino de viento
